Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
MZ1095,,,,,,No,No,No,No,,,
MZ1253,,,,,,No,No,No,No,,,
MZ1253,2023-08-04,,,,,,,,,,,
MZ1253,2024-08-04,,,,,,,,,,,
MZ1253,2025-08-04,,,,,,,,,,,
MZ1392,2023-07-29,,,,,,,,,,,
MZ1392,2024-07-29,Won,No,No,No,,,,,,,
MZ1392,2025-07-29,,,,,,,,,,,
MZ1641,2025-10-19,,,,,,,,,,,
MZ1794,,,,,,No,No,No,No,,,
MZ1794,2023-06-18,,,,,,,,,,,
MZ1794,2024-06-18,,,,,,,,,,,
MZ1794,2025-06-18,,,,,,,,,,,
MZ1949,,,,,,No,No,No,No,,,
MZ1949,2023-09-08,,,,,,,,,,,
MZ1949,2024-09-08,,,,,,,,,,,
MZ1949,2025-09-08,,,,,,,,,,,
MZ1952,2023-02-07,,,,,,,,,,,
MZ2072,2024-08-02,Won,No,No,No,No,No,No,No,,,
MZ2085,2024-06-30,Won,No,unknown,No,,,,,,,
MZ2085,2025-06-30,,,,,,,,,,,
MZ2157,,,,,,No,No,No,No,,,
MZ2637,2023-11-19,,,,,,,,,,,
MZ2637,2024-11-19,Won,No,No,No,,,,,,,
MZ2637,2025-11-19,,,,,,,,,,,
MZ2913,,,,,,No,No,No,No,,,
MZ2913,2023-05-01,,,,,,,,,,,
MZ2913,2024-05-01,,,,,,,,,,,
MZ2913,2025-05-01,,,,,,,,,,,
MZ2913,2026-05-01,,,,,,,,,,,
MZ3182,,,,,,No,No,No,No,,,
MZ3182,2025-05-13,,,,,,,,,,,
MZ3796,,,,,,No,No,No,No,,,
MZ3796,2025-12-11,,,,,,,,,,,
MZ4032,2023-03-18,,,,,,,,,,,
MZ4032,2024-03-18,,,,,,,,,,,
MZ4032,2025-03-18,,,,,,,,,,,
MZ4069,,,,,,No,No,No,No,,,
MZ4184,2024-06-28,Won,No,No,No,No,No,No,No,,,
MZ4184,2025-06-28,Won,No,No,No,No,No,No,No,,,
MZ4426,2023-03-22,,,,,,,,,,,
MZ4426,2024-03-22,,,,,,,,,,,
MZ4426,2025-03-22,,,,,,,,,,,
MZ4426,2026-03-22,,,,,,,,,,,
MZ4939,2025-06-25,,,,,,,,,,,
MZ5610,2025-05-07,,,,,,,,,No,Satisfied,80
MZ5610,2025-07-05,Won,No,No,No,No,No,No,No,,,
MZ5645,2024-12-02,Won,No,unknown,No,,,,,,,
MZ5658,,,,,,No,No,No,No,,,
MZ5658,2025-04-10,,,,,,,,,,,
MZ5670,,,,,,No,Yes,No,No,,,
MZ5670,2024-06-11,,,,,,,,,,,
MZ5670,2025-06-11,,,,,,,,,,,
MZ5676,2024-12-12,,,,,,,,,,,
MZ6048,,,,,,No,No,No,No,,,
MZ6208,2023-07-01,,,,,,,,,,,
MZ6254,,,,,,Yes,Yes,No,Yes,,,
MZ6254,2025-12-13,,,,,,,,,,,
MZ6351,2024-09-21,Won,No,No,No,No,No,No,No,,,
MZ6459,,,,,,No,No,No,No,,,
MZ6459,2023-01-02,,,,,,,,,,,
MZ6459,2024-01-02,,,,,,,,,,,
MZ6459,2025-01-02,,,,,,,,,,,
MZ6563,2025-02-12,,,,,,,,,,,
MZ6563,2025-12-02,Won,No,No,Yes,No,No,No,No,,,
MZ6647,2023-01-22,,,,,,,,,,,
MZ6647,2024-01-22,,,,,,,,,,,
MZ6647,2025-01-22,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
MZ6647,2025-01-22,Won,No,No,No,No,No,No,No,,,
MZ6647,2026-01-22,,,,,,,,,,,
MZ6680,2025-12-12,Won,No,No,No,No,No,No,No,,,
MZ6692,,,,,,No,Yes,No,No,,,
MZ6692,2023-02-28,,,,,,,,,,,
MZ6692,2024-02-28,,,,,,,,,,,
MZ6692,2025-02-28,,,,,,,,,,,
MZ6745,2023-09-24,,,,,,,,,,,
MZ6831,2024-01-03,,,,,,,,,,,
MZ6837,,,,,,No,Yes,Yes,No,,,
MZ6837,2025-10-07,,,,,,,,,No,Satisfied,85
MZ6844,2023-12-07,,,,,,,,,,,
MZ7131,2023-05-26,,,,,,,,,,,
MZ7131,2024-05-26,,,,,,,,,,,
MZ7131,2025-05-26,,,,,,,,,,,
MZ7297,2025-09-18,Won,No,No,No,No,No,No,No,,,
MZ7300,2023-05-20,,,,,,,,,,,
MZ7322,,,,,,No,No,No,No,,,
MZ7415,2023-06-08,,,,,,,,,,,
MZ7415,2024-06-08,,,,,,,,,,,
MZ7415,2024-08-06,Won,No,Yes,No,No,No,No,No,,,
MZ7415,2025-06-08,,,,,,,,,,,
MZ7654,2023-11-23,,,,,,,,,,,
MZ7654,2024-11-23,,,,,,,,,,,
MZ7664,2025-08-26,Won,No,Yes,No,No,Yes,No,No,,,
MZ7947,,,,,,No,No,No,No,,,
MZ7947,2024-09-14,,,,,,,,,,,
MZ7947,2025-09-14,,,,,,,,,,,
MZ8089,2025-01-29,Churned,Yes,Yes,No,Yes,Yes,Yes,No,,,
MZ8337,2023-07-27,,,,,,,,,,,
MZ8371,2023-12-08,,,,,,,,,,,
MZ8371,2024-12-08,,,,,,,,,,,
MZ8447,,,,,,No,No,No,No,,,
MZ8716,2025-12-18,Won,No,Yes,Yes,,,,,,,
MZ8786,2023-06-05,,,,,,,,,,,
MZ8786,2024-06-05,,,,,,,,,,,
MZ8786,2025-05-06,Won,No,No,No,No,No,No,No,,,
MZ8786,2025-06-05,,,,,,,,,,,
MZ8849,2023-08-10,,,,,,,,,,,
MZ8849,2024-08-10,,,,,,,,,,,
MZ8849,2025-08-10,,,,,,,,,,,
MZ9121,2024-02-17,,,,,,,,,,,
MZ9121,2025-02-17,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
MZ9121,2025-02-17,Won,No,No,No,Yes,Yes,Yes,No,,,
MZ9121,2026-02-17,Churned,No,Yes,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
MZ9121,2026-02-17,Churned,No,Yes,No,Yes,Yes,Yes,No,,,
MZ9161,2024-08-23,Won,No,No,No,No,No,No,No,,,
MZ9212,2024-09-13,Won,No,No,No,No,No,No,No,,,
MZ9295,,,,,,No,No,No,No,,,
MZ9295,2023-05-26,,,,,,,,,,,
MZ9295,2024-05-26,,,,,,,,,,,
MZ9295,2025-05-26,,,,,,,,,,,
NA0070,2025-01-07,,,,,,,,,No,Satisfied,Not Discussed
NA0070,2025-07-01,Won,No,No,No,No,No,No,No,,,
NA0138,2025-04-05,Won,No,unknown,Yes,Yes,Yes,No,No,,,
NA0275,2025-03-13,Won,No,No,No,No,No,No,No,,,
NA0275,2026-03-13,,,,,,,,,,,
NA0360,,,,,,No,No,No,No,,,
NA0360,2023-09-02,,,,,,,,,,,
NA0360,2024-09-02,,,,,,,,,,,
NA0360,2025-09-02,,,,,,,,,,,
NA0364,2023-11-02,,,,,,,,,,,
NA0364,2024-11-02,,,,,,,,,,,
NA0364,2025-11-02,,,,,,,,,,,
NA0364,2026-11-02,,,,,,,,,,,
NA0398,2023-07-27,,,,,,,,,,,
NA0616,,,,,,No,No,No,No,,,
NA0616,2023-12-01,,,,,,,,,,,
NA0616,2024-12-01,,,,,,,,,,,
NA0616,2025-12-01,,,,,,,,,,,
NA0616,2026-12-01,,,,,,,,,,,
NA0619,,,,,,No,No,No,No,,,
NA0619,2025-12-03,,,,,,,,,,,
NA0632,2023-07-21,,,,,,,,,,,
NA0632,2024-07-21,,,,,,,,,,,
NA0756,2023-11-03,,,,,,,,,,,
NA0756,2024-11-03,,,,,,,,,,,
NA0756,2025-03-11,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA0756,2025-03-11,Won,No,No,No,No,No,No,No,,,
NA0756,2025-11-03,,,,,,,,,,,
NA0756,2026-11-03,,,,,,,,,,,
NA0796,2024-10-25,Won,No,No,No,No,No,No,No,,,
NA0796,2025-10-25,,,,,,,,,No,Satisfied,Not Discussed
NA0805,2023-04-20,,,,,,,,,,,
NA0816,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA0816,,,,,,No,No,No,No,,,
NA0816,2025-02-03,,,,,,,,,No,Neutral,Not Discussed
NA1000,,,,,,No,No,No,No,,,
NA1000,2025-05-25,,,,,,,,,No,Neutral,Not Discussed
NA1024,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA1024,,,,,,No,No,No,No,,,
NA1024,2023-02-27,,,,,,,,,,,
NA1024,2024-02-27,,,,,,,,,,,
NA1024,2025-02-27,,,,,,,,,,,
NA1024,2026-02-27,,,,,,,,,,,
NA1115,2025-10-13,Churned,No,No,No,No,No,No,No,No,Satisfied,Not Discussed
NA1121,2026-01-17,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed
NA1121,2026-01-17,Won,No,No,No,No,No,No,No,No,Not Discussed,Not Discussed
NA1218,2026-02-28,Won,No,No,No,No,No,No,No,,,
NA1317,2025-04-10,,,,,,,,,,,
NA1478,2023-04-25,,,,,,,,,,,
NA1478,2024-04-25,,,,,,,,,,,
NA1478,2025-04-25,Churned,No,No,No,No,No,No,No,,,
NA1602,2023-01-16,,,,,,,,,,,
NA1602,2024-01-16,,,,,,,,,,,
NA1602,2025-01-16,Won,No,No,Yes,No,No,No,No,,,
NA1602,2026-01-16,,,,,,,,,,,
NA1803,2023-04-28,,,,,,,,,,,
NA1929,2025-01-18,,,,,,,,,,,
NA1929,2026-01-18,,,,,,,,,,,
NA1992,,,,,,No,Yes,Yes,No,,,
NA2062,2024-12-11,Won,No,No,No,No,No,No,No,,,
NA2091,2023-08-05,,,,,,,,,,,
NA2203,2023-06-06,,,,,,,,,,,
NA2363,2023-07-27,,,,,,,,,,,
NA2363,2024-07-27,,,,,,,,,,,
NA2445,,,,,,No,No,No,No,,,
NA2445,2023-04-26,,,,,,,,,,,
NA2445,2024-04-26,,,,,,,,,,,
NA2445,2025-04-26,,,,,,,,,,,
NA2455,,,,,,Yes,Yes,Yes,No,,,
NA2455,2026-07-02,,,,,,,,,,,
NA2467,2024-10-03,Won,No,No,No,No,No,No,Yes,,,
NA2467,2025-10-03,Won,No,No,No,No,No,No,Yes,,,
NA2696,,,,,,No,No,No,No,,,
NA2788,,,,,,No,Yes,No,No,,,
NA2788,2023-06-21,,,,,,,,,,,
NA2788,2024-06-21,,,,,,,,,,,
NA2788,2025-06-21,,,,,,,,,,,
NA2843,2023-08-11,,,,,,,,,,,
NA2843,2024-08-11,,,,,,,,,,,
NA2843,2025-08-11,,,,,,,,,,,
NA2843,2025-11-08,Won,No,No,Yes,No,No,No,No,,,
NA3007,,,,,,No,No,No,No,,,
NA3007,2023-01-25,,,,,,,,,,,
NA3007,2024-01-25,,,,,,,,,,,
NA3007,2025-01-25,,,,,,,,,,,
NA3007,2026-01-25,,,,,,,,,,,
NA3019,2023-02-01,,,,,,,,,,,
NA3019,2024-02-01,,,,,,,,,,,
NA3019,2025-01-02,Churned,No,No,No,No,No,No,No,,,
NA3019,2025-02-01,,,,,,,,,,,
NA3158,2023-01-24,,,,,,,,,,,
NA3158,2024-01-24,,,,,,,,,,,
NA3158,2025-01-24,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA3158,2025-01-24,Won,No,No,No,No,No,No,No,,,
NA3158,2026-01-24,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA3158,2026-01-24,Won,No,No,No,No,No,No,No,,,
NA3274,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA3274,,,,,,No,No,No,No,,,
NA3465,2025-10-28,Won,No,No,No,No,No,No,No,,,
NA3766,,,,,,No,No,No,No,,,
NA3766,2025-04-10,,,,,,,,,,,
NA4183,,,,,,No,No,No,No,,,
NA4183,2023-10-19,,,,,,,,,,,
NA4183,2024-10-19,,,,,,,,,,,
NA4183,2025-10-19,,,,,,,,,,,
NA4339,2023-02-14,,,,,,,,,,,
NA4495,2023-11-28,,,,,,,,,,,
NA4617,2023-01-27,,,,,,,,,,,
NA4617,2024-01-27,,,,,,,,,,,
NA4824,,,,,,No,No,No,No,,,
NA4926,2023-07-31,,,,,,,,,,,
NA4926,2024-07-31,Won,No,No,No,No,No,No,No,,,
NA4926,2025-07-31,,,,,,,,,,,
NA5059,2025-11-20,Won,No,Yes,No,Yes,Yes,No,Yes,,,
NA5392,2023-10-27,,,,,,,,,,,
NA5392,2024-10-27,,,,,,,,,,,
NA5399,2023-05-17,,,,,,,,,,,
NA5399,2024-05-17,Won,No,No,No,,,,,,,
NA5399,2025-05-17,,,,,,,,,,,
NA5458,,,,,,No,No,No,No,,,
NA5541,,,,,,No,No,No,No,,,
NA5541,2023-03-07,,,,,,,,,,,
NA5541,2024-03-07,,,,,,,,,,,
NA5541,2025-03-07,,,,,,,,,,,
NA5575,2025-10-24,Churned,No,No,No,,,,,,,
NA5581,2024-02-21,,,,,,,,,,,
NA5659,,,,,,No,No,No,No,,,
NA5720,2023-12-08,,,,,,,,,,,
NA5720,2024-12-08,,,,,,,,,,,
NA5720,2025-12-08,,,,,,,,,,,
NA5777,2024-09-28,,,,,,,,,,,
NA5797,2025-03-26,Won,No,No,No,No,No,No,No,,,
NA5871,2024-08-29,Won,No,No,No,No,No,No,No,,,
NA5871,2025-08-29,Won,No,No,No,No,No,No,No,,,
NA5915,2023-01-28,,,,,,,,,,,
NA5915,2024-01-28,,,,,,,,,,,
NA5915,2025-01-28,Won,No,No,No,No,No,No,No,,,
NA5915,2026-01-28,Won,No,No,No,No,No,No,No,,,
NA5935,,,,,,No,No,No,No,,,
NA6019,2023-01-28,,,,,,,,,,,
NA6019,2024-01-28,,,,,,,,,,,
NA6019,2025-01-28,,,,,,,,,,,
NA6019,2026-01-28,,,,,,,,,,,
NA6134,2024-05-30,Churned,No,No,No,,,,,,,
NA6274,,,,,,Yes,Yes,Yes,No,,,
NA6274,2023-11-16,,,,,,,,,,,
NA6274,2024-11-16,,,,,,,,,,,
NA6274,2025-11-16,,,,,,,,,,,
NA6426,2026-01-16,,,,,,,,,,,
NA6565,2023-11-15,,,,,,,,,,,
NA6565,2024-11-15,Won,No,No,No,No,No,No,No,,,
NA6565,2025-11-15,Churned,No,No,Yes,No,No,No,No,,,
NA6736,2023-09-22,,,,,,,,,,,
NA6736,2024-09-22,Won,No,No,No,,,,,,,
NA6736,2025-09-22,,,,,,,,,,,
NA7041,2025-11-22,Won,No,No,No,No,No,No,No,,,
NA7062,2023-09-04,,,,,,,,,,,
NA7062,2024-09-04,,,,,,,,,,,
NA7062,2025-09-04,,,,,,,,,,,
NA7107,2024-09-01,,,,,,,,,,,
NA7107,2025-09-01,,,,,,,,,,,
NA7107,2026-09-01,,,,,,,,,,,
NA7214,,,,,,No,No,No,No,,,
NA7329,2024-11-15,Won,No,No,No,No,Yes,Yes,No,,,
NA7329,2025-11-15,,,,,,,,,,,
NA7422,2023-11-30,,,,,,,,,,,
NA7422,2024-11-30,,,,,,,,,,,
NA7422,2025-11-30,Won,No,No,No,,,,,,,
NA7578,2023-09-05,,,,,,,,,,,
NA7578,2024-09-05,,,,,,,,,,,
NA7578,2025-05-09,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA7578,2025-09-05,,,,,,,,,,,
NA7912,,,,,,No,No,No,No,,,
NA7912,2023-11-03,,,,,,,,,,,
NA7912,2024-11-03,,,,,,,,,,,
NA7912,2025-11-03,,,,,,,,,,,
NA8066,2023-05-13,,,,,,,,,,,
NA8066,2024-05-13,,,,,,,,,,,
NA8066,2025-05-13,Won,No,No,No,No,No,No,No,,,
NA8312,2023-09-11,,,,,,,,,,,
NA8648,2025-11-16,Won,No,No,No,No,No,No,No,,,
NA8866,,,,,,No,No,No,No,,,
NA8866,2023-04-07,,,,,,,,,,,
NA8866,2024-04-07,,,,,,,,,,,
NA8866,2025-04-07,,,,,,,,,,,
NA9080,2023-09-18,,,,,,,,,,,
NA9080,2024-09-18,Churned,No,No,No,,,,,,,
NA9151,2025-03-03,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA9151,2025-03-03,Won,No,No,No,No,No,No,No,,,
NA9172,2025-10-07,Won,No,No,No,No,No,No,No,,,
NA9202,2023-06-24,,,,,,,,,,,
NA9241,,,,,,No,No,No,No,,,
NA9365,2023-03-13,,,,,,,,,,,
NA9365,2024-03-13,,,,,,,,,,,
NA9365,2025-03-13,Won,No,Yes,No,No,No,No,No,,,
NA9365,2026-03-13,Won,No,No,No,No,No,No,No,,,
NA9480,2023-05-18,,,,,,,,,,,
NA9604,2026-01-29,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NA9604,2026-01-29,Won,No,No,No,No,No,No,No,,,
NA9738,,,,,,No,No,No,No,,,
NA9738,2023-05-03,,,,,,,,,,,
NA9738,2024-05-03,,,,,,,,,,,
NA9738,2025-05-03,,,,,,,,,,,
NA9738,2026-05-03,,,,,,,,,,,
NA9976,2023-08-10,,,,,,,,,,,
NB0134,,,,,,No,No,No,No,,,
NB0134,2025-07-22,,,,,,,,,No,Neutral,Not Discussed
NB0197,,,,,,No,No,No,No,,,
NB0197,2023-05-17,,,,,,,,,,,
NB0197,2024-05-17,,,,,,,,,,,
NB0197,2025-05-17,,,,,,,,,,,
NB0321,2023-02-19,,,,,,,,,,,
NB0321,2024-02-19,,,,,,,,,,,
NB0321,2025-02-19,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB0321,2025-02-19,Won,No,No,No,No,Yes,Yes,No,,,
NB0321,2026-02-19,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB0321,2026-02-19,Won,No,No,No,No,Yes,Yes,No,,,
NB1010,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB1010,,,,,,No,No,No,No,,,
NB1010,2024-02-13,,,,,,,,,,,
NB1010,2025-02-13,,,,,,,,,,,
NB1010,2026-02-13,,,,,,,,,,,
NB1118,2023-10-08,,,,,,,,,,,
NB1118,2024-08-10,Churned,No,No,No,,,,,,,
NB1118,2024-10-08,,,,,,,,,,,
NB1272,,,,,,No,No,No,No,,,
NB1392,2024-08-01,Won,No,Yes,No,No,No,No,No,,,
NB1392,2025-08-01,Won,No,No,No,No,No,No,No,,,
NB1498,2023-04-27,,,,,,,,,,,
NB1516,2023-10-22,,,,,,,,,,,
NB1516,2024-10-22,,,,,,,,,,,
NB1516,2025-10-22,,,,,,,,,,,
NB1552,2023-07-29,,,,,,,,,,,
NB1552,2024-07-29,,,,,,,,,,,
NB1631,,,,,,Yes,Yes,Yes,No,,,
NB1755,2023-03-20,,,,,,,,,,,
NB1994,2024-09-01,Won,No,Yes,No,No,Yes,No,No,,,
NB2233,2023-02-21,,,,,,,,,,,
NB2233,2024-02-21,,,,,,,,,,,
NB2233,2025-02-21,,,,,,,,,,,
NB2233,2026-02-21,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB2233,2026-02-21,Won,No,No,No,No,Yes,Yes,No,,,
NB2415,,,,,,No,No,No,No,,,
NB2415,2025-11-22,,,,,,,,,,,
NB2654,,,,,,No,No,No,No,,,
NB2654,2023-01-09,,,,,,,,,,,
NB2654,2024-01-09,,,,,,,,,,,
NB2654,2025-01-09,,,,,,,,,,,
NB2711,2023-04-01,,,,,,,,,,,
NB2711,2024-04-01,,,,,,,,,,,
NB2711,2025-04-01,,,,,,,,,,,
NB2711,2026-01-04,Won,No,No,No,,,,,,,
NB2711,2026-04-01,,,,,,,,,,,
NB2801,2023-04-02,,,,,,,,,,,
NB2801,2024-04-02,,,,,,,,,,,
NB2801,2025-02-04,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB2801,2025-02-04,Won,No,No,No,No,No,No,No,,,
NB2801,2025-04-02,,,,,,,,,,,
NB2801,2026-04-02,,,,,,,,,,,
NB3226,2023-07-31,,,,,,,,,,,
NB3226,2024-07-31,Won,No,No,No,No,No,No,No,,,
NB3226,2025-07-31,Won,No,No,No,No,No,No,No,,,
NB3265,2025-11-19,Won,No,No,No,No,No,No,No,,,
NB3548,2023-06-05,,,,,,,,,,,
NB3548,2024-06-05,,,,,,,,,,,
NB3548,2025-06-05,,,,,,,,,,,
NB3557,2026-01-31,,,,,,,,,,,
NB3667,,,,,,Yes,Yes,Yes,No,,,
NB3821,2024-10-31,Won,No,No,No,,,,,,,
NB3821,2025-10-31,Won,No,No,No,,,,,,,
NB4260,2023-07-23,,,,,,,,,,,
NB4349,,,,,,No,No,No,No,,,
NB4349,2023-02-14,,,,,,,,,,,
NB4349,2024-02-14,,,,,,,,,,,
NB4349,2025-02-14,,,,,,,,,,,
NB4623,2024-12-22,Won,No,No,No,No,No,No,No,,,
NB4623,2025-12-22,Won,No,No,No,No,No,No,No,,,
NB4765,,,,,,No,No,No,No,,,
NB4977,2024-07-27,Won,No,No,No,,,,,,,
NB4977,2025-07-27,,,,,,,,,,,
NB4994,,,,,,No,No,No,No,,,
NB4994,2023-05-04,,,,,,,,,,,
NB4994,2024-05-04,,,,,,,,,,,
NB4994,2025-05-04,,,,,,,,,,,
NB5579,,,,,,No,No,No,No,,,
NB5579,2023-05-04,,,,,,,,,,,
NB5579,2024-05-04,,,,,,,,,,,
NB5579,2025-05-04,,,,,,,,,,,
NB5591,2023-08-02,,,,,,,,,,,
NB5591,2024-08-02,,,,,,,,,,,
NB5591,2025-08-02,,,,,,,,,,,
NB5591,2026-08-02,,,,,,,,,,,
NB5956,2023-06-20,,,,,,,,,,,
NB5956,2024-06-20,Won,No,No,Yes,No,No,No,No,,,
NB5956,2025-06-20,Won,No,No,No,No,No,No,No,,,
NB6057,2024-07-16,Won,No,No,No,No,No,No,No,,,
NB6057,2025-07-16,Won,No,No,No,No,No,No,No,,,
NB6071,,,,,,No,No,No,No,,,
NB6199,2025-06-12,,,,,,,,,,,
NB7021,2025-09-08,Won,No,No,No,No,No,No,No,,,
NB7093,2023-09-15,,,,,,,,,,,
NB7093,2024-09-15,Won,No,No,No,Yes,Yes,Yes,No,,,
NB7093,2025-09-15,Won,No,No,No,Yes,Yes,Yes,No,,,
NB7162,2023-12-07,,,,,,,,,,,
NB7162,2024-07-12,Churned,No,No,No,,,,,,,
NB7162,2024-12-07,,,,,,,,,,,
NB7295,2023-01-18,,,,,,,,,,,
NB7295,2024-01-18,,,,,,,,,,,
NB7295,2025-01-18,,,,,,,,,,,
NB7295,2026-01-18,,,,,,,,,,,
NB7376,2023-02-09,,,,,,,,,,,
NB7376,2024-02-09,,,,,,,,,,,
NB7376,2025-02-09,,,,,,,,,,,
NB7504,,,,,,No,No,No,No,,,
NB7504,2024-01-08,,,,,,,,,,,
NB7504,2025-01-08,,,,,,,,,,,
NB7542,2024-03-03,,,,,,,,,,,
NB7542,2025-03-03,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB7542,2025-03-03,Won,No,No,No,No,No,No,No,,,
NB7661,,,,,,No,No,No,No,,,
NB7661,2023-05-09,,,,,,,,,,,
NB7661,2024-05-09,,,,,,,,,,,
NB7661,2025-05-09,,,,,,,,,,,
NB7716,2023-03-21,,,,,,,,,,,
NB7716,2024-03-21,,,,,,,,,,,
NB7716,2025-03-21,,,,,,,,,,,
NB7716,2026-03-21,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NB7716,2026-03-21,Won,No,No,No,No,No,No,No,,,
NB7717,,,,,,No,No,No,No,,,
NB8101,2023-11-10,,,,,,,,,,,
NB8101,2024-11-10,,,,,,,,,,,
NB8149,,,,,,No,No,No,No,,,
NB8149,2024-08-16,,,,,,,,,,,
NB8149,2025-08-16,,,,,,,,,,,
NB8561,2023-07-31,,,,,,,,,,,
NB8561,2024-07-31,,,,,,,,,,,
NB8661,2023-06-23,,,,,,,,,,,
NB8661,2024-06-23,,,,,,,,,,,
NB8737,,,,,,No,No,No,No,,,
NB8925,,,,,,No,No,No,No,,,
NB9103,,,,,,No,No,No,No,,,
NB9141,2023-05-28,,,,,,,,,,,
NB9141,2024-05-28,,,,,,,,,,,
NB9265,,,,,,No,No,No,No,,,
NB9265,2025-07-18,,,,,,,,,,,
NB9288,2023-12-21,,,,,,,,,,,
NB9288,2024-12-21,,,,,,,,,,,
NB9288,2025-12-21,Won,No,No,No,,,,,,,
NB9403,2023-12-15,,,,,,,,,,,
NB9443,2023-03-21,,,,,,,,,,,
NB9443,2024-03-21,,,,,,,,,,,
NB9443,2025-03-21,Churned,No,No,No,No,No,No,No,,,
NB9704,2025-11-29,,,,,,,,,,,
NC0093,,,,,,Yes,Yes,No,No,,,
NC0093,2023-04-02,,,,,,,,,,,
NC0093,2024-04-02,,,,,,,,,,,
NC0093,2025-04-02,,,,,,,,,,,
NC0173,,,,,,No,Yes,No,No,,,
NC0173,2023-02-22,,,,,,,,,,,
NC0173,2024-02-22,,,,,,,,,,,
NC0173,2025-02-22,,,,,,,,,,,
NC0235,2025-06-26,Won,No,No,No,No,No,No,No,,,
NC0403,,,,,,No,No,No,No,,,
NC0403,2025-01-08,,,,,,,,,No,Neutral,Not Discussed
NC0843,2024-08-13,Won,No,No,Yes,No,No,No,No,,,
NC0843,2025-08-13,Won,No,No,No,No,No,No,No,No,Neutral,Not Discussed
NC1482,2025-05-06,,,,,,,,,,,
NC1511,2023-01-10,,,,,,,,,,,
NC1511,2024-01-10,,,,,,,,,,,
NC1511,2025-01-10,,,,,,,,,,,
NC1565,,,,,,Yes,Yes,Yes,No,,,
NC1565,2023-01-28,,,,,,,,,,,
NC1565,2024-01-28,,,,,,,,,,,
NC1565,2025-01-28,,,,,,,,,,,
NC1565,2026-01-28,,,,,,,,,,,
NC1599,2023-05-10,,,,,,,,,,,
NC1599,2024-05-10,,,,,,,,,,,
NC1599,2024-10-05,Won,No,No,No,,,,,,,
NC1599,2025-05-10,,,,,,,,,,,
NC1669,2024-11-29,Won,No,No,No,,,,,,,
NC1669,2025-11-29,Won,No,No,No,,,,,,,
NC1678,2024-06-30,Won,No,Yes,No,No,No,No,No,,,
NC1712,2025-08-30,Won,No,No,No,No,No,No,No,,,
NC1830,,,,,,No,No,No,No,,,
NC1830,2023-03-19,,,,,,,,,,,
NC1830,2024-03-19,,,,,,,,,,,
NC1830,2025-03-19,,,,,,,,,,,
NC1908,2023-06-15,,,,,,,,,,,
NC1908,2024-06-15,Won,No,No,No,,,,,,,
NC1908,2025-06-15,,,,,,,,,,,
NC2125,2023-07-22,,,,,,,,,,,
NC2125,2024-07-22,,,,,,,,,,,
NC2125,2025-07-22,,,,,,,,,,,
NC2167,,,,,,No,No,No,No,,,
NC2167,2023-10-14,,,,,,,,,,,
NC2167,2024-10-14,,,,,,,,,,,
NC2167,2025-10-14,,,,,,,,,,,
NC2267,2025-11-20,Won,No,No,No,No,No,No,No,,,
NC2422,2025-10-29,Churned,No,No,No,No,No,No,Yes,,,
NC2566,2025-08-15,Won,No,No,No,No,No,No,No,No,Satisfied,90
NC2671,2023-11-30,,,,,,,,,,,
NC2750,,,,,,No,No,No,No,,,
NC2750,2026-01-28,,,,,,,,,,,
NC2753,2024-02-27,,,,,,,,,,,
NC2753,2025-02-27,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
NC2753,2025-02-27,Won,No,No,No,No,No,No,No,,,
