Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors
NY9518,2024-05-26,Won,No,No,No
NY9518,2025-05-26,Won,No,No,No
NY9842,2025-11-25,Won,No,No,No
NZ0622,2024-04-27,Won,No,Yes,No
NZ0703,2024-10-19,Won,No,No,No
NZ0703,2025-10-19,Won,No,No,No
NZ0994,2025-03-02,Won,No,No,No
NZ1106,2025-11-08,Won,No,No,Yes
NZ1894,2025-06-06,Won,No,No,No
NZ2189,2024-06-25,Won,No,No,No
NZ2522,2025-12-03,Won,No,No,No
NZ2667,2024-06-17,Won,No,No,No
NZ2695,2025-02-10,Won,No,No,No
NZ2695,2026-02-10,Won,No,No,No
NZ3413,2025-06-30,Won,No,Yes,Yes
NZ3486,2024-06-07,Won,No,No,No
NZ3486,2025-06-07,Won,No,No,No
NZ3564,2024-11-22,Won,Yes,unknown,Yes
NZ4094,2025-03-21,Won,No,unknown,No
NZ5358,2025-03-28,Won,No,unknown,No
NZ5659,2025-02-11,Won,No,No,No
NZ5659,2026-02-11,Won,No,No,No
NZ6042,2025-03-03,Won,No,No,No
NZ6085,2024-05-26,Won,No,No,No
NZ6085,2025-05-26,Won,No,No,No
NZ7892,2025-04-18,Won,No,No,No
NZ8090,2024-08-05,Churned,No,No,No
NZ8127,2024-09-19,Won,No,No,No
NZ8192,2024-07-24,Won,No,No,No
NZ8192,2025-07-24,Won,No,No,No
NZ8861,2026-03-04,Won,No,No,No
NZ9045,2025-01-19,Won,No,No,No
NZ9598,2025-02-05,Won,No,No,No
NZ9885,2025-02-18,Won,No,No,No
NZ9976,2025-09-10,Won,No,No,No
OA0364,2024-12-13,Won,No,No,No
OA0364,2025-12-13,Churned,No,No,No
OA0554,2024-04-26,Won,No,No,No
OA0554,2025-04-26,Won,Yes,No,Yes
OA0555,2025-10-01,Won,No,Yes,No
OA0793,2025-03-26,Won,No,unknown,No
OA1386,2024-07-19,Won,No,No,No
OA1625,2025-07-10,Won,No,No,No
OA1669,2024-10-27,Won,No,No,No
OA1669,2025-10-27,Won,No,No,No
OA2744,2024-04-26,Won,No,Yes,No
OA2744,2025-04-26,Won,No,unknown,No
OA2954,2025-11-19,Won,No,No,No
OA3236,2024-11-09,Won,No,No,No
OA3661,2025-06-04,Won,No,No,Yes
OA4770,2024-05-23,Won,No,No,No
OA5334,2024-07-30,Won,No,No,No
OA6172,2024-07-02,Won,No,Yes,No
OA6338,2026-02-19,Churned,No,No,No
OA7131,2025-09-14,Won,No,No,No
OA7557,2025-06-13,Won,No,No,No
OA8962,2024-10-25,Won,No,No,No
OA9498,2024-05-24,Won,No,No,No
OB0114,2024-09-25,Won,No,No,No
OB0114,2025-09-25,Won,No,Yes,No
OB0344,2024-08-03,Won,No,No,No
OB0344,2025-08-03,Won,No,Yes,No
OB0560,2025-03-31,Churned,No,unknown,Yes
OB0831,2024-09-20,Won,No,No,No
OB0880,2025-11-11,Won,No,No,No
OB1176,2024-12-05,Won,No,Yes,No
OB2006,2025-01-08,Churned,No,Yes,No
OB2506,2025-04-17,Won,No,unknown,No
OB2628,2025-04-22,Won,No,No,No
OB2710,2025-03-31,Won,No,unknown,Yes
OB3694,2026-01-06,Churned,No,Yes,No
OB4540,2024-10-22,Won,No,No,Yes
OB5796,2025-01-18,Churned,No,No,No
OB5918,2024-10-05,Won,No,No,No
OB6109,2025-04-08,Won,No,unknown,No
OB6320,2024-07-19,Churned,Yes,Yes,No
OB6395,2024-09-15,Won,No,No,No
OB7278,2024-07-29,Won,No,Yes,No
OB7417,2025-02-28,Won,No,No,No
OB7417,2026-02-28,Won,No,No,No
OB9651,2025-05-30,Won,No,No,No
OB9674,2024-09-14,Won,No,No,No
OB9853,2026-01-10,Won,No,No,No
OB9913,2024-10-29,Won,No,No,No
OC0479,2025-05-16,Won,No,No,No
OC0940,2026-01-25,Won,No,No,No
OC1236,2025-04-29,Won,No,No,No
OC1334,2024-10-15,Won,No,Yes,No
OC1334,2025-10-15,Won,No,No,No
OC1335,2024-08-28,Won,No,No,No
OC1475,2024-08-16,Churned,Yes,Yes,No
OC1952,2025-07-25,Won,No,No,Yes
OC2214,2025-03-31,Won,No,Yes,No
OC2781,2024-10-31,Won,No,No,Yes
OC2781,2025-10-31,Won,No,Yes,Yes
OC2796,2024-08-27,Won,No,Yes,No
OC3412,2024-12-15,Churned,No,No,Yes
OC4817,2024-10-26,Won,No,Yes,No
OC5649,2025-02-10,Won,No,No,No
OC6110,2024-07-29,Won,No,No,No
OC6110,2025-07-29,Won,No,No,No
OC7694,2024-10-11,Won,No,No,No
OC7694,2025-10-11,Churned,No,No,No
OC8365,2025-03-02,Won,No,No,Yes
OC8365,2026-03-02,Won,No,No,No
OC8468,2025-09-16,Won,No,No,No
OC8509,2024-05-22,Won,No,No,No
OC8509,2025-05-22,Churned,No,No,No
OC8641,2024-08-08,Churned,Yes,Yes,Yes
OC8646,2024-12-02,Won,No,No,No
OC8646,2025-12-02,Won,No,No,No
OC8806,2024-08-09,Won,No,No,No
OC8806,2025-08-09,Churned,No,No,No
OC9953,2025-04-05,Churned,No,unknown,No
OD0589,2025-09-19,Won,No,No,No
OD1621,2025-07-21,Won,No,No,No
OD2612,2024-04-27,Won,No,No,No
OD3011,2025-01-29,Churned,No,No,No
OD4066,2025-03-04,Won,Yes,Yes,Yes
OD4135,2024-10-01,Won,unknown,Yes,No
OD4244,2024-08-08,Won,No,No,No
OD4426,2025-01-15,Won,No,No,No
OD4426,2026-01-15,Won,No,No,No
OD4886,2025-08-02,Won,No,No,No
OD4970,2024-12-11,Won,No,No,No
OD4970,2025-12-11,Won,No,No,No
OD5687,2025-01-07,Won,No,No,No
OD6233,2025-02-22,Won,No,No,No
OD6404,2024-10-26,Won,No,No,No
OD7277,2024-06-23,Won,No,No,No
OD7705,2024-11-25,Won,No,No,No
OD8555,2026-02-05,Won,No,No,No
OD9312,2024-08-14,Won,No,No,No
OD9989,2024-08-06,Won,No,Yes,No
OE0467,2024-09-09,Won,No,No,No
OE0467,2025-09-09,Won,No,No,No
OE0812,2024-11-26,Won,No,No,No
OE1137,2024-07-07,Won,No,No,No
OE1137,2025-07-07,Won,No,No,Yes
OE2963,2025-12-10,Won,No,No,No
OE3335,2025-05-15,Won,No,Yes,No
OE4052,2024-06-21,Won,No,No,No
OE4158,2024-11-25,Won,No,No,Yes
OE4325,2025-08-03,Won,No,No,No
OE4439,2024-05-31,Won,No,No,No
OE4757,2025-03-05,Won,No,Yes,Yes
OE4757,2026-03-05,Won,No,No,No
OE4769,2025-03-21,Won,No,No,No
OE5325,2024-05-24,Won,No,No,No
OE5352,2025-08-10,Won,No,No,No
OE5486,2024-11-21,Won,No,Yes,Yes
OE5486,2025-11-21,Won,No,Yes,No
OE5495,2024-12-07,Won,No,Yes,No
OE5776,2024-08-25,Won,No,No,No
OE6449,2024-11-11,Won,No,No,No
OE7876,2025-04-29,Won,No,No,No
OE8206,2024-11-17,Churned,No,Yes,No
OE8373,2025-03-08,Won,No,No,No
OE8460,2025-02-13,Won,No,Yes,No
OE8593,2024-12-20,Won,No,No,No
OE8593,2025-12-20,Won,No,No,No
OE8740,2024-10-17,Won,No,No,No
OE8742,2024-06-01,Won,No,No,No
OE8930,2025-03-16,Won,No,No,No
OF0295,2025-02-28,Won,No,No,No
OF0665,2026-01-07,Won,No,No,No
OF0830,2024-08-05,Won,No,No,No
OF0850,2025-11-26,Won,No,No,No
OF1246,2025-02-24,Won,Yes,Yes,No
OF1246,2026-02-24,Won,No,No,No
OF1461,2024-10-31,Won,No,No,No
OF1461,2025-10-31,Won,No,No,Yes
OF2029,2025-10-31,Won,No,No,No
OF2178,2025-03-15,Won,No,Yes,Yes
OF2639,2025-11-17,Won,No,No,No
OF2762,2025-11-28,Won,No,No,No
OF3470,2024-10-11,Won,No,No,No
OF3727,2024-07-11,Won,No,No,No
OF3727,2025-07-11,Won,No,No,No
OF4125,2026-01-10,Won,No,Yes,No
OF4807,2024-11-30,Won,No,No,No
OF5533,2024-08-31,Won,No,No,No
OF5658,2024-07-23,Won,No,No,No
OF6314,2024-07-28,Won,No,No,No
OF6314,2025-07-28,Won,No,No,Yes
OF7064,2024-11-28,Won,No,No,No
OF7064,2025-11-28,Won,No,No,No
OF7197,2024-06-15,Won,No,No,No
OF7436,2025-12-03,Won,No,Yes,No
OF7626,2026-01-10,Won,No,No,No
OF8511,2025-03-18,Won,No,No,No
OF8861,2025-02-01,Won,No,Yes,No
OF8861,2026-02-01,Won,No,Yes,Yes
OF9408,2025-02-07,Churned,No,No,No
OF9454,2025-11-28,Won,No,No,No
OG0649,2025-11-28,Won,No,No,No
OG0988,2025-08-19,Won,No,No,No
OG1238,2024-11-18,Won,No,No,No
OG1727,2024-07-11,Won,No,No,No
OG1727,2025-07-11,Won,No,No,No
OG1997,2025-03-22,Won,No,No,No
OG2800,2024-12-08,Won,No,No,No
OG3172,2024-04-19,Won,No,No,No
OG3411,2025-04-14,Won,No,unknown,No
OG4857,2025-05-17,Won,No,No,Yes
OG4926,2026-01-22,Won,No,No,No
OG4936,2025-02-05,Won,unknown,No,No
OG4936,2026-02-05,Won,No,No,No
OG5515,2024-10-07,Won,No,No,No
OG5515,2025-10-07,Won,No,No,No
OG5571,2024-08-28,Won,No,No,No
OG6732,2025-11-29,Won,No,No,No
OG6757,2025-06-13,Won,No,No,No
OG7335,2025-04-02,Won,Yes,unknown,Yes
OG7591,2024-11-03,Won,No,No,No
OG7787,2024-09-30,Won,No,No,No
OG7787,2025-09-30,Won,No,No,No
OG8117,2025-01-24,Churned,Yes,Yes,Yes
OG8427,2026-01-11,Won,No,No,No
OG9014,2025-07-16,Won,No,No,No
OG9873,2024-12-15,Won,No,No,No
OH1058,2025-11-13,Won,No,No,No
OH1670,2024-09-25,Won,No,No,No
OH1736,2025-10-22,Churned,No,No,No
OH1741,2024-06-22,Won,No,No,No
OH1741,2025-06-22,Won,No,No,No
OH1910,2024-08-21,Churned,No,No,No
OH1976,2025-07-12,Churned,No,No,No
OH2361,2025-08-28,Won,No,No,No
OH2436,2025-11-18,Churned,No,Yes,No
OH3781,2024-10-04,Won,Yes,Yes,No
OH3781,2025-10-04,Won,No,Yes,No
OH4684,2024-04-28,Won,No,No,No
OH4734,2024-09-19,Won,No,No,No
OH5058,2025-12-12,Churned,No,No,No
OH6087,2025-06-01,Won,No,No,No
OH6405,2025-02-16,Won,No,No,No
OH6493,2024-10-12,Won,No,No,No
OH6521,2025-03-14,Won,No,No,No
OH8251,2025-01-09,Won,No,Yes,No
OH8559,2026-01-03,Won,No,No,No
OH9052,2024-10-09,Won,No,No,No
OH9052,2025-10-09,Won,No,No,No
OI1230,2025-02-26,Won,No,No,No
OI1230,2026-02-26,Won,No,No,No
OI1271,2025-01-13,Won,No,No,No
OI1334,2024-09-30,Won,No,Yes,No
OI1380,2024-07-05,Won,No,No,No
OI1575,2024-05-09,Won,No,No,No
OI1681,2024-12-04,Won,No,No,No
OI1690,2024-07-12,Won,No,Yes,No
OI2168,2025-07-12,Won,No,No,No
OI2510,2025-01-12,Won,No,No,No
OI2637,2025-12-03,Won,No,Yes,Yes
OI2894,2025-04-22,Won,No,No,No
OI3115,2025-12-08,Won,No,No,No
OI3173,2024-07-29,Won,No,Yes,Yes
OI3248,2024-09-30,Won,No,No,No
OI3593,2025-12-10,Won,Yes,Yes,Yes
OI3841,2024-07-12,Won,No,Yes,No
OI3881,2025-09-07,Won,No,No,No
OI4310,2024-12-08,Won,No,No,No
OI4815,2025-07-21,Won,No,No,No
OI5399,2024-09-01,Won,No,Yes,No
OI5514,2025-12-16,Won,No,No,No
OI5992,2025-07-25,Won,No,No,No
OI6001,2026-02-26,Won,No,No,No
OI6364,2024-10-25,Won,No,No,No
OI6419,2025-09-10,Churned,No,No,No
OI6471,2025-02-21,Churned,No,No,No
OI6610,2025-12-17,Won,No,No,No
OI6916,2024-09-14,Won,No,Yes,No
OI7178,2024-12-08,Won,No,Yes,Yes
OI7895,2024-12-11,Churned,No,No,No
OI8028,2024-10-10,Won,No,No,No
OI8028,2025-10-10,Won,No,No,No
OI8378,2024-07-24,Won,No,No,No
OI8851,2024-12-10,Won,No,No,No
OI8851,2025-12-10,Won,No,No,No
OI9329,2024-12-09,Won,No,No,No
OI9329,2025-12-09,Won,No,No,No
OJ0802,2025-06-27,Won,No,No,No
OJ0896,2025-09-20,Won,No,No,No
OJ1350,2024-06-21,Won,No,No,No
OJ1350,2025-06-21,Won,No,No,No
OJ1719,2025-05-07,Won,No,No,No
OJ1728,2024-07-16,Won,No,No,No
OJ1728,2025-07-16,Won,No,No,No
OJ2091,2024-11-30,Won,No,No,No
OJ2091,2025-11-30,Won,No,No,Yes
OJ2275,2025-07-24,Won,No,No,Yes
OJ2436,2024-12-10,Won,unknown,Yes,Yes
OJ2436,2025-12-10,Won,No,No,No
OJ2675,2024-12-10,Churned,No,No,No
OJ3047,2025-02-27,Won,No,No,No
OJ3476,2025-01-13,Won,No,No,No
OJ4180,2025-05-23,Won,No,Yes,No
OJ4242,2025-05-27,Won,No,Yes,No
OJ5984,2024-08-13,Won,No,No,No
OJ6276,2024-08-17,Won,No,No,No
OJ6276,2025-08-17,Won,No,No,No
OJ6495,2026-01-20,Won,Yes,Yes,Yes
OJ6880,2025-07-28,Won,No,No,No
OJ7720,2026-02-10,Won,No,No,No
OJ7735,2025-08-21,Churned,No,No,No
OJ7775,2025-06-28,Won,No,No,No
OJ8012,2024-07-22,Won,No,No,No
OJ8783,2025-01-27,Won,No,No,No
OJ8900,2024-05-22,Won,No,No,Yes
OJ9500,2025-04-02,Won,No,unknown,No
OJ9987,2025-07-28,Won,No,No,Yes
OK0084,2025-12-12,Won,No,No,No
OK0589,2025-12-18,Won,No,No,No
OK1001,2025-03-02,Won,No,No,No
OK1018,2025-02-17,Won,Yes,No,No
OK1279,2025-12-16,Won,No,No,No
OK1306,2024-11-14,Won,No,No,No
OK1306,2025-11-14,Won,No,No,No
OK1876,2025-02-23,Won,No,No,No
OK2055,2025-02-27,Won,No,No,No
OK2607,2025-06-06,Won,No,No,No
OK3068,2026-03-06,Won,No,No,No
OK3129,2025-09-28,Won,No,No,No
OK3302,2025-09-01,Won,No,No,No
OK3402,2024-11-25,Won,No,Yes,No
OK3402,2025-11-25,Churned,No,Yes,No
OK3670,2024-06-18,Churned,No,Yes,No
OK3837,2026-01-20,Won,No,No,No
OK4395,2025-06-27,Churned,No,No,No
OK4409,2025-11-06,Won,No,No,No
OK5351,2025-07-19,Won,No,No,No
OK5531,2024-05-08,Won,No,No,No
OK5608,2025-04-30,Won,No,unknown,No
OK5820,2024-12-15,Won,No,No,No
OK5820,2025-12-15,Won,No,No,No
OK6192,2025-01-07,Won,No,No,No
OK6321,2025-02-21,Won,Yes,Yes,No
OK6387,2024-05-10,Won,unknown,No,No
OK6974,2025-04-17,Won,No,unknown,No
OK7024,2024-09-21,Won,No,No,No
OK7024,2025-09-21,Churned,No,No,No
OK7158,2025-08-24,Churned,No,No,No
OK7199,2024-07-11,Won,No,No,No
OK7281,2025-03-16,Won,No,No,No
OK7626,2024-08-18,Won,No,No,No
OK7626,2025-08-18,Won,No,No,No
OK7741,2024-07-20,Won,No,Yes,No
OK7923,2024-05-11,Churned,No,No,Yes
OK8043,2024-07-24,Won,No,Yes,No
OK8043,2025-07-24,Won,No,Yes,No
OK8343,2024-12-10,Won,No,No,No
OK8343,2025-12-10,Won,No,No,No
OK8898,2024-07-11,Won,No,No,Yes
OK9223,2024-05-24,Won,No,No,No
OK9223,2025-05-24,Won,No,Yes,Yes
OK9671,2024-08-07,Won,No,No,No
OK9860,2024-11-30,Churned,No,No,Yes
OL0068,2025-07-31,Won,No,No,No
OL1044,2025-01-29,Churned,No,No,No
OL1457,2025-04-15,Won,No,unknown,No
OL2043,2024-07-24,Won,No,No,No
OL2099,2025-09-10,Won,No,No,No
OL2395,2025-01-17,Won,No,No,No
OL2491,2025-04-03,Churned,No,No,No
OL2527,2024-08-27,Won,No,No,No
OL2527,2025-08-27,Won,No,No,No
OL2832,2025-04-23,Won,No,unknown,No
OL3041,2025-04-16,Churned,No,unknown,Yes
OL3362,2025-11-24,Won,No,No,No
OL3840,2024-12-13,Won,No,No,No
OL4573,2025-11-29,Won,No,No,No
OL4746,2025-02-15,Won,No,No,No
OL4814,2024-09-11,Churned,No,Yes,Yes
OL5041,2025-10-19,Won,No,No,No
OL5150,2024-07-24,Won,No,No,No
OL5216,2025-04-19,Won,No,unknown,No
OL5513,2025-08-25,Won,No,No,No
OL5752,2024-11-20,Won,No,No,No
OL5752,2025-11-20,Won,No,No,No
OL6434,2025-10-16,Won,No,No,No
OL6648,2026-03-06,Won,No,No,No
OL7271,2026-01-24,Won,No,No,No
OL7431,2024-11-28,Won,No,No,No
OL8859,2026-02-25,Won,No,Yes,Yes
OL9163,2024-11-29,Won,No,unknown,No
OL9709,2025-11-24,Won,No,Yes,Yes
OL9780,2025-08-01,Won,No,No,No
OM0078,2025-06-19,Won,No,No,No
OM0408,2025-03-16,Won,No,No,No
OM1012,2024-10-27,Won,No,No,No
OM1670,2025-03-29,Won,No,unknown,No
OM1765,2025-07-04,Won,No,No,No
OM1842,2024-07-06,Won,No,No,No
OM2099,2025-10-20,Won,No,Yes,No
OM2119,2025-09-20,Won,No,No,No
OM2205,2025-02-25,Won,No,No,Yes
OM3356,2025-03-31,Won,unknown,unknown,No
OM3476,2024-06-01,Won,No,No,No
OM3676,2025-04-11,Won,No,unknown,No
OM4356,2024-07-05,Won,No,No,Yes
OM4670,2025-01-16,Won,No,No,No
OM4847,2025-09-27,Won,No,No,Yes
OM5073,2024-05-11,Won,No,No,No
OM5073,2025-05-11,Won,No,No,No
OM5436,2024-09-14,Won,unknown,No,No
OM5515,2025-03-07,Churned,No,No,No
OM5551,2024-08-25,Won,No,No,No
OM5657,2024-12-18,Won,No,No,No
OM5956,2025-08-04,Won,No,No,No
OM6374,2024-12-18,Churned,No,No,No
OM6507,2025-09-25,Won,No,No,No
OM6894,2025-04-18,Won,No,No,No
OM7312,2024-07-11,Won,No,No,No
OM7472,2025-08-01,Won,No,No,No
OM7702,2025-12-14,Won,No,No,No
OM7941,2024-10-28,Won,No,Yes,No
OM7941,2025-10-28,Won,No,No,No
OM8699,2025-03-21,Won,No,No,No
OM8753,2024-12-02,Won,No,No,No
OM9242,2024-12-28,Won,No,No,No
OM9242,2025-12-28,Won,No,No,No
OM9442,2025-05-22,Won,No,No,No
OM9719,2024-07-12,Won,No,Yes,No
OM9769,2025-03-23,Won,No,unknown,No
ON1208,2026-02-27,Won,No,No,No
ON1393,2024-12-22,Won,No,No,No
ON1659,2025-05-26,Won,No,No,No
ON1729,2024-05-16,Won,No,No,No
ON2031,2026-01-30,Won,No,No,No
ON3314,2026-01-24,Won,No,Yes,Yes
ON4445,2024-05-31,Won,No,No,No
ON4445,2025-05-31,Churned,No,No,No
ON4515,2025-07-19,Churned,No,No,No
ON4633,2026-02-12,Won,No,No,No
ON4789,2024-06-09,Won,No,No,No
ON5235,2024-11-12,Won,No,No,No
ON5235,2025-11-12,Won,No,Yes,No
ON6313,2024-11-29,Churned,No,No,No
ON6768,2024-08-25,Won,No,No,No
ON7262,2025-04-16,Won,No,Yes,No
ON7337,2024-07-04,Won,No,No,No
ON8457,2025-02-25,Won,No,No,No
ON8457,2026-02-25,Won,No,No,No
ON8572,2024-08-26,Won,No,No,No
ON8572,2025-08-26,Won,No,No,No
ON8705,2025-01-13,Won,No,No,Yes
ON8705,2026-01-13,Won,No,No,No
ON9226,2025-07-17,Won,No,Yes,No
ON9376,2025-11-26,Churned,No,No,Yes
ON9900,2025-02-03,Won,No,Yes,No
ON9900,2026-02-03,Won,No,Yes,No
OO0561,2025-09-27,Won,No,No,No
OO0658,2024-10-14,Won,No,No,No
OO0658,2025-10-14,Won,No,No,No
OO0872,2025-03-29,Won,No,unknown,No
OO1428,2025-07-09,Churned,No,No,No
OO1558,2024-05-10,Won,No,Yes,No
OO1558,2025-05-10,Won,No,No,No
OO1936,2025-06-26,Won,No,No,No
OO2409,2024-05-28,Churned,No,No,Yes
OO2901,2024-06-27,Won,No,No,No
OO2901,2025-06-27,Won,No,No,No
OO2994,2025-04-06,Won,No,Yes,No
OO3131,2025-03-20,Won,No,No,No
OO3317,2025-02-26,Won,No,No,No
OO3361,2024-06-15,Churned,No,No,No
OO3661,2025-01-11,Won,No,No,No
OO4041,2024-07-15,Won,No,No,No
OO4522,2025-02-16,Won,No,No,No
OO4522,2026-02-16,Won,No,No,No
OO4795,2024-06-12,Won,No,No,No
OO4795,2025-06-12,Won,No,Yes,Yes
OO4919,2024-10-10,Won,No,No,No
OO5229,2025-04-25,Won,No,unknown,No
OO5388,2024-12-31,Won,No,No,No
OO5388,2025-12-31,Won,No,No,No
OO5495,2024-10-11,Churned,Yes,Yes,No
OO5521,2024-09-01,Won,No,Yes,No
OO5819,2024-10-30,Won,No,No,No
OO5861,2024-08-02,Won,No,No,No
OO5861,2025-08-02,Won,No,No,Yes
OO6114,2025-09-22,Won,No,Yes,No
OO6233,2025-11-09,Won,No,No,No
OO6266,2025-01-17,Won,No,No,Yes
OO7070,2024-12-05,Won,No,No,No
OO7461,2024-07-24,Won,No,Yes,No
OO7552,2025-12-02,Won,No,No,No
OO7567,2025-02-10,Won,No,No,No
OO7735,2024-08-19,Won,No,No,No
OO8867,2025-04-12,Won,No,unknown,No
OP0168,2025-01-12,Won,No,No,No
OP0168,2026-01-12,Won,No,No,No
OP0407,2025-04-02,Churned,No,unknown,No
OP0498,2025-07-26,Won,No,Yes,No
OP0835,2024-04-19,Won,No,No,No
OP1163,2024-05-31,Won,No,No,No
OP1290,2025-12-18,Won,No,No,No
OP1446,2024-07-28,Churned,No,No,No
OP1535,2025-06-12,Churned,No,No,No
OP1768,2024-11-08,Won,No,unknown,No
OP2113,2026-01-29,Won,No,No,No
OP2113,2026-01-29,Won,No,No,No
OP2257,2025-10-15,Churned,Yes,No,Yes
OP2369,2024-07-12,Won,No,No,Yes
OP2369,2025-07-12,Won,No,No,No
OP2426,2024-09-24,Won,No,No,No
OP2426,2025-09-24,Won,No,Yes,No
OP2452,2026-01-19,Won,No,No,No
OP2921,2024-04-25,Won,No,No,No
OP2921,2025-04-25,Won,No,No,No
OP3275,2024-06-10,Won,No,No,No
OP3399,2024-11-17,Won,No,Yes,Yes
OP3399,2025-11-17,Won,Yes,Yes,No
OP3504,2024-10-19,Won,No,No,No
OP3514,2025-02-26,Won,No,Yes,No
OP3514,2026-02-26,Won,No,No,No
OP3736,2025-05-21,Won,No,No,No
OP3802,2024-09-01,Won,No,No,Yes
OP3802,2025-09-01,Churned,No,No,Yes
OP4173,2025-10-31,Won,No,No,No
OP4519,2024-06-23,Won,No,No,No
OP5364,2025-11-01,Won,No,No,No
OP5808,2024-10-23,Won,No,No,No
OP5808,2025-10-23,Won,No,No,No
OP6143,2025-04-24,Won,No,unknown,No
OP6302,2025-06-04,Won,No,No,No
OP6516,2025-08-22,Won,No,No,No
OP7478,2026-02-22,Won,No,No,No
OP8604,2025-04-09,Won,Yes,unknown,No
OP9041,2025-02-14,Won,No,Yes,No
OP9728,2025-12-03,Won,No,No,No
OQ0560,2024-12-21,Won,No,No,No
OQ1534,2026-01-19,Churned,Yes,Yes,No
OQ1841,2024-11-25,Won,No,No,No
OQ1841,2025-11-25,Won,No,No,No
OQ2199,2025-02-28,Won,No,No,No
OQ2358,2025-02-10,Won,No,No,No
OQ2918,2025-01-13,Won,No,Yes,No
OQ3136,2024-11-18,Won,No,No,No
OQ3136,2025-11-18,Won,No,No,No
OQ3233,2025-01-17,Won,No,Yes,No
OQ3622,2025-11-18,Won,No,No,No
OQ3676,2026-02-24,Won,No,No,No
OQ4224,2025-10-16,Churned,No,No,No
OQ4409,2025-05-11,Won,No,No,No
OQ5009,2024-11-10,Won,Yes,Yes,No
OQ5110,2024-05-28,Won,No,No,No
OQ5198,2025-04-12,Won,No,unknown,No
OQ5349,2024-11-18,Won,No,Yes,No
OQ5836,2025-12-01,Won,No,Yes,No
OQ7615,2025-05-27,Won,No,Yes,No
OQ7689,2024-09-01,Won,No,No,No
OQ8297,2025-06-15,Won,No,No,No
OQ8359,2025-09-05,Won,No,Yes,Yes
OQ8396,2025-03-02,Churned,No,No,No
OQ8459,2025-05-30,Won,No,No,No
OQ8755,2025-06-09,Won,No,No,No
OQ9086,2024-08-08,Won,No,No,No
OQ9619,2025-03-26,Won,No,Yes,Yes
OQ9877,2024-07-09,Won,No,Yes,Yes
OR0001,2024-12-06,Won,No,No,No
OR0791,2025-10-30,Churned,No,No,No
OR0822,2025-03-22,Won,No,unknown,No
OR1420,2025-09-03,Churned,No,No,Yes
OR1678,2024-04-24,Won,No,No,No
OR1790,2024-04-27,Churned,No,No,No
OR1888,2025-08-10,Won,No,Yes,No
OR3006,2024-08-19,Won,No,No,No
OR3112,2025-10-05,Won,No,No,No
OR3278,2026-01-15,Won,No,No,No
OR3279,2026-02-06,Won,No,unknown,No
OR4025,2024-05-31,Won,No,No,No
OR4471,2025-12-23,Won,No,No,No
OR4567,2025-09-26,Won,No,No,No
OR4981,2025-01-15,Won,No,No,No
OR5021,2024-07-12,Won,No,No,No
OR6250,2024-10-13,Won,No,No,No
OR6250,2025-10-13,Won,No,No,No
OR7701,2025-03-17,Won,No,Yes,Yes
OR7786,2024-09-30,Won,No,No,No
OR8008,2026-02-25,Churned,No,No,No
OR9234,2025-04-19,Won,No,unknown,No
OR9678,2024-06-12,Won,No,No,No
OR9678,2025-06-12,Won,No,No,No
OR9869,2025-04-02,Won,No,unknown,Yes
OS0286,2025-03-28,Won,No,unknown,No
OS0760,2025-06-17,Won,No,No,No
OS1955,2024-07-29,Churned,No,No,No
OS2255,2025-11-01,Churned,No,Yes,No
OS2667,2025-05-30,Churned,No,No,No
OS2672,2024-05-20,Won,No,No,No
OS2816,2024-05-18,Won,No,No,No
OS2871,2024-12-22,Won,No,No,No
OS4271,2025-08-22,Won,No,No,No
OS5187,2024-08-05,Won,No,No,No
OS5187,2025-08-05,Won,No,No,No
OS5622,2025-10-23,Won,No,No,No
OS7113,2025-11-19,Won,No,No,No
OS7343,2025-05-28,Won,No,No,No
OS7364,2025-07-30,Won,No,No,No
OS9032,2025-11-27,Churned,No,No,No
OS9200,2026-02-18,Won,No,No,No
OS9507,2025-01-22,Won,No,No,No
OS9657,2025-09-21,Churned,No,No,No
OS9708,2025-09-16,Won,No,Yes,No
OT0263,2025-07-22,Won,No,No,No
OT0559,2024-12-06,Won,No,No,No
OT0709,2025-02-20,Churned,No,No,No
OT1878,2024-06-25,Won,No,No,No
OT1878,2025-06-25,Won,No,No,No
OT2107,2025-01-16,Churned,No,No,No
OT3188,2025-09-14,Won,No,No,No
OT4148,2025-04-21,Churned,No,No,No
OT4200,2025-11-19,Won,No,No,No
OT4371,2025-01-26,Churned,Yes,Yes,No
OT4871,2024-10-10,Churned,No,No,No
OT5100,2025-10-27,Churned,No,No,Yes
OT5454,2024-07-30,Won,No,No,No
OT5454,2025-07-30,Won,No,No,No
OT5693,2024-08-21,Won,No,No,No
OT5693,2025-08-21,Won,No,No,No
OT5817,2025-10-02,Won,No,No,No
OT6033,2024-11-02,Churned,No,No,No
OT6125,2026-01-23,Churned,No,No,No
OT6295,2025-03-06,Won,No,No,No
OT6295,2026-03-06,Won,No,No,No
OT6820,2024-05-05,Won,No,No,No
OT6820,2025-05-05,Won,No,No,No
OT7077,2024-05-29,Won,No,No,No
OT7729,2025-10-19,Won,No,Yes,No
OT8059,2025-09-13,Won,No,No,No
OT9517,2024-07-26,Won,No,No,Yes
OT9517,2025-07-26,Won,No,Yes,No
